candidate,name,type,forAgainst,endorser,url
GARCD--352,Danica Garcia,letter,for,Gary Petersen,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article252913308.html
PERAL  337,Leo Perales,letter,for,Latinos Business Association,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article252939073.html
GARCD--352,Danica Garcia,letter,for,Elizabeth Lugo,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article252939073.html
STEIE--138,Erin Steinert,letter,for,Elizabeth Lugo,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article252939073.html
BRITD  336,Don Britain,letter,against,Michael S. Cochrane,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article252939073.html
LEE SR 337,Steve Lee,letter,against,Michael S. Cochrane,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article252939073.html
TRUMJ  337,John Trumbo,letter,against,Michael S. Cochrane,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article252939073.html
MCKAW  337,Bill McKay,letter,against,Michael S. Cochrane,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article252939073.html
RODGS--639,Scott Rodgers,letter,for,Kirk Williamson,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article252939073.html
STEIE--138,Erin Steinert,letter,for,Kirk Williamson,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article252939073.html
GARCD--352,Danica Garcia,letter,for,Jennifer Holway,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article252939073.html
JANSR  352,Rick Jansons,letter,for,Dori Luzzo Gilmour,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
VANNE--352,Elizabeth Vann-Clark,letter,for,Dori Luzzo Gilmour,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
GARCD--352,Danica Garcia,letter,for,Dori Luzzo Gilmour,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
MCKAW  337,Bill McKay,letter,against,Amy Goatley,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
STEIE--138,Erin Steinert,letter,for,Gayle Hane,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
RODGS--639,Scott Rodgers,letter,for,Gayle Hane,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
BRITD  336,Don Britain,letter,for,Jim and AJ Foster,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
LEE SR 337,Steve Lee,letter,for,Jim and AJ Foster,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
GARCD--352,Danica Garcia,letter,for,Stacy and Jim Hall,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
GARCD--352,Danica Garcia,letter,for,Ginger Wireman,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
RODGS--639,Scott Rodgers,letter,for,Ginger Wireman,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
STEIE--138,Erin Steinert,letter,for,Ginger Wireman,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
MCKAW  337,Bill McKay,letter,against,Reg Unterseher,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
GARCD--352,Danica Garcia,letter,for,Jennifer Reed,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253075438.html
BYRDA--353,Audra Byrd,letter,against,David Watson,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253625453.html
GARCD--352,Danica Garcia,letter,for,Elizabeth Lugo (2),https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253625453.html
VANNE--352,Elizabeth Vann-Clark,letter,for,Elizabeth Lugo ,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253625453.html
JANSR  352,Rick Jansons,letter,for,Elizabeth Lugo ,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253625453.html
BYRDA--353,Audra Byrd,letter,against,Daniel E. Schoepflin,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253625453.html
BYRDA--353,Audra Byrd,letter,against,Leona Germain,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253625453.html
BYRDA--353,Audra Byrd,letter,for,Kimberly Nelson,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article253934303.html
BYRDA--353,Audra Byrd,letter,for,Diane Hawkins,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article254066963.html
BYRDA--353,Audra Byrd,letter,for,Kait Stoker,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article254128803.html
BYRDA--353,Audra Byrd,letter,for,Heidi Larsen,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article254252278.html
GARCD--352,Danica Garcia,letter,for,Trevor Macduff,https://www.tri-cityherald.com/opinion/letters-to-the-editor/article254307023.html
