Candidate Name,Office,URL
"James ""Jim"" Bell",Benton County District Court Judge Pos 2,
Jennifer Johnson,Benton County District Court Judge Pos 4,
Jennifer M. (Lampson) Azure,Benton County District Court Judge Pos 5,
Michael (Mike) Clark,Benton County Sheriff,
"Michael ""Mike"" Rio",Benton County District Court Judge Pos 1,
Talesha Sams,Benton County District Court Judge Pos 1,
Tony G Sandoval,14th District Representative Pos 2,
"William ""Bill"" Leach",Benton County Coroner,
William Chichenoff,14th District Representative Pos 1,
Christopher (Chris) Lee,Franklin County Sheriff,
Michael Nguyen,Franklin County District Court Judge,
Trinity Orosco,Franklin County District Court Judge,
Todd Samuel,Richland City Council Pos 4,
Bajun R. Mavalwalla,U.S. House District 5,
"Jacek ""Jack"" Kobiesa",U.S. House District 4,
John C. Hughs,U.S. House District 4,
David R Shelvey,Supreme Court Justice Pos 7,
Jaime Michelle Hawk,Supreme Court Justice Pos 3,
Karim A. Merchant,Supreme Court Justice Pos 7,
Todd A. Bloom,Supreme Court Justice Pos 7,
