Status,Candidate Name,Notes
PROCESSED,Austin Miller,No updates needed
PROCESSED,Brad Klippert,No updates needed
PROCESSED,Gabe Galbraith,No updates needed
PROCESSED,Gloria Tyler Baker,No updates needed
PROCESSED,Jason McShane,No updates needed
PROCESSED,John Trumbo,No updates needed
PROCESSED,Loren Anderson,No updates needed
PROCESSED,Micah Valentine,No updates needed
PROCESSED,Nic Uhnak,No updates needed
PROCESSED,Robert Franklin,No updates needed
PROCESSED,Warren Hughs,No updates needed
PROCESSED,Amanda Brown,No updates needed
PROCESSED,Bryan Verhei,No updates needed
PROCESSED,Calixto Hernandez,No updates needed
PROCESSED,Heather Kubalek,No updates needed
PROCESSED,Leo Perales,No updates needed
PROCESSED,Mark Anthony Figueroa,No updates needed
PROCESSED,Melissa Blasdel,No updates needed
PROCESSED,Pete Serrano,No updates needed
PROCESSED,Scott Lehrman,No updates needed
PROCESSED,Steve Christensen,No updates needed
PROCESSED,Valerie Torres,No updates needed
PROCESSED,Bonnie Mitchell,No updates needed
PROCESSED,Colin Michael,No updates needed
PROCESSED,Donald Landsman,No updates needed
PROCESSED,Jacques Bakhazi,No updates needed
PROCESSED,John Maier,No updates needed
PROCESSED,Kurt H Maier,No updates needed
PROCESSED,Kyle Saltz,No updates needed
PROCESSED,Pat Holten,No updates needed
PROCESSED,Rick Jansons,No updates needed
PROCESSED,Robert Walko,No updates needed
PROCESSED,Ryan Whitten,No updates needed
PROCESSED,Braden Sloughter,No updates needed
PROCESSED,David Cole,No updates needed
PROCESSED,Fred Brink,No updates needed
PROCESSED,John Smart,No updates needed
PROCESSED,Ken Stoker,No updates needed
PROCESSED,May Hays,No updates needed
PROCESSED,Nancy Aldrich,No updates needed
PROCESSED,Richard Bloom,No updates needed
PROCESSED,Robert Harvey Perkes,No updates needed
