Candidate Name,Office,Region,Question Order,Question,Answer,URL
Austin Miller,Kennewick City Council Ward 1,Kennewick,1,Who are you? Tell us about yourself.,"My name is Austin Miller. I am a teacher and a researcher. I have spent over ten years behind the scenes as a policy analyst for local, state, and federal agencies, and I’m excited to bring my experience to the job of serving the people of Kennewick. I take time to carefully think through problems and work hard to consider all sides of an issue by communicating with clarity and respect. I am also a husband and a father. I’m thankful for the support of my partner and my children who are excited about me running for city council. Without their willingness to share a bit of me with you, I would not be able to do this. I grew up here in Kennewick. Many things are still the same as when I was a kid, but a lot has changed. We need to work together to understand these changes and adapt to make sure the best opportunities are available to as many people in our community as possible. This means being intentional about how we grow and coming up with creative and flexible solutions when necessary. My main goal is to prioritize kindness and inclusion in city policies. This is my first time running for public office, and I hope to inspire more people to get involved in serving our community. I want people to know that their voice is the strongest when they speak about local issues. It is easy to get discouraged when we focus on things that we can’t control, but I believe there are many hopeful opportunities to make life better when we work together at the local level.","https://ballotpedia.org/Austin_Miller_(Kennewick_City_Council_Ward_1_Position_1,_Washington,_candidate_2025)"
Austin Miller,Kennewick City Council Ward 1,Kennewick,2,Please list below 3 key messages of your campaign. What are the main points you want voters to remember about your goals for your time in office?,"My first key message is community support and inclusion. Community is more than just the people who live nearby; it’s a feeling of security that comes from knowing that these people have your back. This is what I want most for the place that my kids get to grow up. National news makes it seem like we have a lot to fight over, but I believe we have more in common than we have disagreements. We can build community by investing in organizations that provide services to those who need them, and in those that bring people together. And if any people who live in Kennewick are threatened by policies and events outside of our control, then I also think it’s important that they know that our city supports them and we will stand up for them.The economy doesn’t work the way that it used to. More and more people in our community are having to work multiple jobs to afford housing or healthcare. People are often starting businesses out of necessity, rather than passion or inspiration. I think that understanding this puts us in a better place to support our friends and neighbors in Kennewick. We should invest in organizations that offer business training, shared workspaces, and tools for people starting out. We should also encourage local entrepreneurs to work together and learn from one another. If one person succeeds at opening a salon, or a new food truck, or a business selling homemade jewelry online, then we all win.I am excited to see Kennewick embracing more mixed-use development. These are neighborhoods where people can walk to get groceries, a haircut, or other locally available goods and services. I think we should continue this trend by allowing more small commercial zoning spaces in and near our residential spaces. This should include new developments, but we can also find ways to reuse buildings and land in older neighborhoods. This kind of development offers more opportunities for small businesses because they no longer have to fight for space in the same busy shopping zones. It also helps ease traffic on major roads and supports stronger, more connected communities.","https://ballotpedia.org/Austin_Miller_(Kennewick_City_Council_Ward_1_Position_1,_Washington,_candidate_2025)"
Austin Miller,Kennewick City Council Ward 1,Kennewick,3,What areas of public policy are you personally passionate about?,I am passionate about making our community a safe place where our kids can thrive. I am passionate about ensuring economic stability for as many people as possible. I am passionate about making sure that the opportunities we want for ourselves and our children are available to every resident of Kennewick. All people deserve to be treated with kindness and respect and to be included in all the benefits of our city.,"https://ballotpedia.org/Austin_Miller_(Kennewick_City_Council_Ward_1_Position_1,_Washington,_candidate_2025)"
Austin Miller,Kennewick City Council Ward 1,Kennewick,4,What do you believe are the core responsibilities for someone elected to this office?,"The city council is responsible for the policies and the budget of the city. It is their job to make sure that public resources are used efficiently and in a way that is considerate of the needs of everyone in the community. I also believe it is the job of the city council to inspire the people that we serve, and to be a champion of our shared values. It is easy for a person to get involved when they have something to gain personally or financially, but the city council should serve all the people in a city. We should cultivate the desire that people naturally have to help and support each other.","https://ballotpedia.org/Austin_Miller_(Kennewick_City_Council_Ward_1_Position_1,_Washington,_candidate_2025)"
Austin Miller,Kennewick City Council Ward 1,Kennewick,5,What legacy would you like to leave?,I am not interested in any personal legacy. I don't care if anyone remembers my name. My life has been mostly good and rewarding so far. I am thankful for the opportunities I have had for education and for the people that have supported me. I just want as many people as possible to have the types of opportunities I have had and to feel the sense of community that has made my life meaningful and full. I want my children to be happy and successful. And I want the same for you and yours.,"https://ballotpedia.org/Austin_Miller_(Kennewick_City_Council_Ward_1_Position_1,_Washington,_candidate_2025)"
Brad Klippert,Kennewick City Council Position 4,Kennewick,1,Ballotpedia survey responses,"See also: Ballotpedia's Candidate Connection Brad Klippert has not yet completed Ballotpedia's Candidate Connection survey. Who fills out Ballotpedia's Candidate Connection survey? Any candidate running for elected office, at any level, can complete Ballotpedia's Candidate Survey. Completing the survey will update the candidate's Ballotpedia profile, letting voters know who they are and what they stand for. More than candidates have taken Ballotpedia's candidate survey since we launched it in 2015. Learn more about the survey here. Help improve Ballotpedia - send us candidate contact info.","https://ballotpedia.org/Brad_Klippert_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Brad Klippert,Kennewick City Council Position 4,Kennewick,2,Other survey responses,"Ballotpedia identified the following surveys, interviews, and questionnaires Klippert completed for other organizations. If you are aware of a link that should be added, email us. VoteWA Profile","https://ballotpedia.org/Brad_Klippert_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
Gabe Galbraith,Kennewick School Board District 2,Kennewick,1,Ballotpedia survey responses,"See also: Ballotpedia's Candidate Connection Gabe Galbraith has not yet completed Ballotpedia's Candidate Connection survey. Who fills out Ballotpedia's Candidate Connection survey? Any candidate running for elected office, at any level, can complete Ballotpedia's Candidate Survey. Completing the survey will update the candidate's Ballotpedia profile, letting voters know who they are and what they stand for. More than candidates have taken Ballotpedia's candidate survey since we launched it in 2015. Learn more about the survey here. Help improve Ballotpedia - send us candidate contact info.","https://ballotpedia.org/Gabe_Galbraith_(Kennewick_School_District_school_board_Position_2,_Washington,_candidate_2025)"
Gabe Galbraith,Kennewick School Board District 2,Kennewick,2,Other survey responses,"Ballotpedia identified the following surveys, interviews, and questionnaires Galbraith completed for other organizations. If you are aware of a link that should be added, email us. VoteWA Profile","https://ballotpedia.org/Gabe_Galbraith_(Kennewick_School_District_school_board_Position_2,_Washington,_candidate_2025)"
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,1,Who are you? Tell us about yourself.,"I'm a 50 year resident of Kennewick and a business woman in the city for over 40 years. I am married with 4 adult children, 4 grandchildren and currently work as a business consultant","https://ballotpedia.org/Gloria_Tyler_Baker_(Kennewick_City_Council_At-large_Position_4,_Washington,_candidate_2025)"
