title,organization,kind,date,status,url,candidateLink,candidates,confidence,notes,participated
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,2026-07-14,past,,https://www.nbcrightnow.com/news/4th-congressional-district-candidate-amanda-mckinney-talks-public-safety-and-jobs/article_3f922565-2783-4211-8ffb-db47436bcac0.html,Amanda McKinney,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,,past,,https://www.youtube.com/watch?v=kszf0Bht72s,Brad Klippert,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,2026-07-27,past,,https://www.nbcrightnow.com/news/carmela-conroy-outlines-priorities-in-5th-district-primary-race/article_e1312410-ba41-4195-a70e-ac7fb2739475.html,Carmela Conroy,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,,past,,https://www.nbcrightnow.com/news/chelsea-dimas-outlines-affordability-access-in-14th-district-race/article_ffb47e69-bc5e-4e01-a5d1-ae01635727bb.html,Chelsea Dimas,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,2026-07-10,past,,https://www.youtube.com/watch?v=BMMtla-X8sk,Christopher (Chris) Lee,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,,past,,https://www.youtube.com/watch?v=fTFr4UIAkWw,Derek Sarley,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,,past,,https://www.nbcrightnow.com/news/benton-county-prosecutor-eric-eisinger-outlines-priorities-during-reelection-campaign/article_aa6083ed-92e7-4808-896b-3f7729b81dd8.html,Eric Eisinger,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,,past,,https://www.nbcrightnow.com/news/wa-14th-district-candidate-ezequiel-morfin-on-small-businesses-tariffs-and-community/article_db8248b4-895f-4364-9bdc-7e22d38b3972.html,Ezequiel Morfin,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,,past,,https://www.youtube.com/watch?v=-xWS2eBgcmg,Gabe Galbraith,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,2026-07-08,past,,https://www.nbcrightnow.com/news/candidate-john-duresky-says-affordability-is-top-issue-in-4th-district/article_a62d5788-5ec7-48a7-a732-fd1a576c0e42.html,John Duresky,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,,past,,https://www.nbcrightnow.com/news/candidate-julie-long-outlines-benton-county-prosecutor-priorities/article_c9ddea4c-4def-41ad-85a9-64c70d922afc.html,Julie Long,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,,past,,https://www.nbcrightnow.com/news/wa-16th-district-candidate-kyle-palmer-shifts-stance-on-data-centers/article_09c42307-8233-41f0-aa67-41dc815fc6d0.html,Kyle Palmer,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,,past,,https://www.nbcrightnow.com/news/walla-walla-rep-mark-klicker-talks-energy-supply-bipartisanship-ahead-of-primary-election/article_bdc4f8ce-acb9-4f4c-bf01-c1729ff90bee.html,Mark Klicker,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,2026-07-08,past,,https://www.youtube.com/watch?v=nKA7eY3vrBs,Michael (Mike) Clark,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,,past,,https://www.nbcrightnow.com/news/franklin-county-sheriff-candidate-monty-huber-talks-staffing-mental-health/article_68451fb1-5f24-488c-857c-ce3be57c7211.html,Monty Huber,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,,past,,https://www.nbcrightnow.com/news/wa-district-15-candidate-reedy-berg-talks-budget-cuts-and-public-safety/article_1622e559-fdae-4f2a-ad41-cb7abd3aab95.html,Reedy Berg,high,Studio interview in the station’s Candidate Conversations series,
NonStop Local Candidate Interview,NonStop Local (KNDU/KNDO),interview,,past,,https://www.nbcrightnow.com/elections/candidate-conversations/candidate-conversations-skyler-rude-for-washingtons-16th-legislative-district/video_1c67a032-8c89-5a0b-827c-3dd5c8a0cbb5.html,Skyler Rude,high,Studio interview in the station’s Candidate Conversations series,
TVW Video Voters' Guide,TVW,video,,past,,https://tvw.org/video/2026-video-voters-guide-colleen-melody-2026061108/,Colleen Melody,high,Candidate-recorded statement in TVW’s statewide video voters’ guide,
TVW Video Voters' Guide,TVW,video,,past,,https://tvw.org/video/2026-video-voters-guide-scott-edwards-2026061106/,Scott Edwards,high,Candidate-recorded statement in TVW’s statewide video voters’ guide,
TVW Video Voters' Guide,TVW,video,,past,,https://tvw.org/video/2026-video-voters-guide-david-stevens-2026061104/,David Stevens,high,Candidate-recorded statement in TVW’s statewide video voters’ guide,
