Candidate Name,Office,Region,Question Order,Question,Answer,Language,Race URL
Fred Brink,West Richland Mayor,West Richland,0,How has your experience prepared you for this position?,"My life is one of public service, and giving back to the community where I have now lived longer than any other is why I first volunteered for the West Richland Planning Commission and, later, successfully ran for City Council in 2017. My professional work experience includes six years military service in the U.S. Navy, 25 years as a special agent-of the Federal Bureau of Investigation, and 10 years as the counterintelligence Program manager at Pacific Northwest National Laboratory. Further, I am the current president of the Association of Washington Cities, representing the 281 cities and towns in our state, and a member of the governor’s Forensic Investigations Council, our state’s Emergency Management Council and the Benton County Law and Justice Council.

As an experienced and proven manager at the federal, state, and city levels, and a widely endorsed candidate by other elected leaders, civic and labor organizations, I am the best qualified candidate for mayor.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986777
Fred Brink,West Richland Mayor,West Richland,1,What is your record of public service?,"As discussed above, public service spans my entire life. The most challenging positions I’ve held include being the Special Agent-in-Charge for the FBI in the State of Mississippi, with oversight of all staff, facilities, investigations and operations within the state, for which I received the U.S. Attorney’s Award for outstanding leadership in criminal investigations. Another demanding assignment was as the FBI’s Legal Attache at the United States Embassy, Riyadh, Kingdom of Saudi Arabia. There I directed all operations of an international FBI office serving five Middle East nations. My results were recognized with the award of the FBI Investigative Excellence Medal for outstanding leadership and achievements. Finally, after the 9/11 terror attacks in New York City, I played an integral part in establishing the emergency command center for the FBI’s New York Office and I also oversaw evidence collection activities at the World Trade Center “Ground Zero” site.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986777
Fred Brink,West Richland Mayor,West Richland,2,Why did you decide to run for this position?,"As a councilmember and mayor pro tem for West Richland with eight years of service on city council, I chose to run for mayor when our current mayor decided not to seek re-election. Further, my education, background and decades of experience in a wide range of challenging positions at all levels of government and in our local community should greatly benefit West Richland in my service as mayor for our city.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986777
Fred Brink,West Richland Mayor,West Richland,3,What are the three major issues facing your city/town?,"The most important issues facing West Richland include our high property taxes, maintaining our parks and roads, enhancing public safety and our policing capability, and sensibly managing our city’s growth. With limited sales tax revenue and higher property assessments, property taxes have increased tremendously and represent a serious concern for our citizens.  West Richland’s parks and roads have a significant amount of deferred maintenance which must be addressed. In addition, our police officer staffing must be increased, and our city’s rapid growth must be responsible managed.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986777
Fred Brink,West Richland Mayor,West Richland,4,How do you plan to address these issues?,"Addressing these issues requires increased general fund revenue which may be obtained through a range of strategies, such as Public-Private Partnerships, leveraging underutilized assets, and pursuing federal, state, and local grants. These actions may also introduce innovative solutions and operational efficiencies from the private sector.

What is NOT needed is changing West Richland’s form of government, as advocated by some. Our present Mayor-Council government serves West Richland well and changing to a manager-council form of government will create a huge expense for our citizens. Further, a manager, likely chosen from outside our city, does not know the area and may leave the city when offered a higher salary in another community, creating a leadership void. Most importantly, city managers are not directly accountable to the voters as our separately elected mayor is. West Richland citizens have no desire to give up their right to choose who serves as our city’s chief executive.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986777
Warren Hughs,Kennewick City Council Ward 3,Kennewick,0,How do you plan on interacting with the citizens of your city?,I live and work in Kennewicks 3rd ward I have regular interactions with my neighbors and customers in the 3rd ward. I also participate in and attend many events in Kennewick. I have been regularly attending city council meetings and I look forward to interacting with citizens at meetings. I will also be available via correspondence.,en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925299
Warren Hughs,Kennewick City Council Ward 3,Kennewick,1,What should your city/town’s role be in dealing with environmental issues?,"Within the Cities jurisdiction environmental issues are something that can impact all of us. Polluted water, land, or air impacts all citizens of Kennewick. It is the responsibility of City officials to monitor potential environmental issues within Kennewick. When data indicates that pollutants may impact the lives of Kennewick's citizens it is the Cities responsibility to developed appropriate, efficient, and sustainable solutions. We are ultimately the stewards of the City we will pass on to our children and we bear a moral responsibility to ensure that Kennewick present and future is a great place to make a home and raise a family.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925299
Warren Hughs,Kennewick City Council Ward 3,Kennewick,2,What is your record of public service?,"I served as a PCO in 2014, I have held several nonprofit board positions and volunteered often to support Kennewick's historic downtown. I currently serve on the Kennewick Arts Commission.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925299
Warren Hughs,Kennewick City Council Ward 3,Kennewick,3,How do you think your city/town should respond to homelessness?,"Homelessness is a difficult challenge it involves Federal, State, County, and City jurisdictions and laws. While I personally believe the solution to homelessness lies in addressing the root causes that put our citizens on the streets.

 I understand that there are many limitations to what the City alone can do to address the root causes of homelessness. As a Representative of Kennewick's 3rd its important to communicate with our first responders to identify and prioritize the needs that the City Council can address directly and work to reach out to our partners in County and State government to collaboratively address needs outside the authority of the City Council.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925299
Warren Hughs,Kennewick City Council Ward 3,Kennewick,4,How would you describe your vision for your city?,"Kennewick is home to some of the most intelligent and creative people in the United States. As such I feel that Kennewick should embody the creativity and resourcefulness of its residents. 

We are in a period of rapid growth and development. Its of vital importance that in our collective role as stewards of the City we will pass on to our children. We lay a sound foundation for the growth that happens here. 

Kennewick will be the birthplace to some of the brightest minds in the nation and it should be a place they are proud to call home.",en,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925299
