Candidate Name,Office,Region,Participated,Notes,Race URL
Hans-Joachim Engelke,Port of Pasco Commissioner District 3,Pasco,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988176
Matt Watkins,Port of Pasco Commissioner District 2,Pasco,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988151
Tammy Kenfield,Port of Kennewick Commissioner District 2,Kennewick,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986835
Fred Brink,West Richland Mayor,West Richland,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986777
May Hays,West Richland Mayor,West Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986777
Warren Hughs,Kennewick City Council Ward 3,Kennewick,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925299
John Trumbo,Kennewick City Council Ward 3,Kennewick,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925299
Gloria Tyler Baker,Kennewick City Council Position 4,Kennewick,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925430
Brad Klippert,Kennewick City Council Position 4,Kennewick,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24925430
Pat Holten,Richland City Council Position 3,Richland,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=25059066
Robert Walko,Richland City Council Position 3,Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=25059066
Donald Landsman,Richland City Council Position 4,Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=25059067
John Maier,Richland City Council Position 4,Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=25059067
Colin Michael,Richland City Council Position 7,Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70744594
Ryan Whitten,Richland City Council Position 7,Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70744594
Kurt H Maier,Richland City Council Position 6,Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70744581
Kyle Saltz,Richland City Council Position 6,Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70744581
Jason McShane,Kennewick City Council Ward 1,Kennewick,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70744611
Austin Miller,Kennewick City Council Ward 1,Kennewick,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70744611
Ken Stoker,West Richland City Council Position 2,West Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986754
David Cole,West Richland City Council Position 3,West Richland,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986759
Robert Harvey Perkes,West Richland City Council Position 3,West Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986759
Nancy Aldrich,West Richland City Council Position 1,West Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986745
John Smart,West Richland City Council Position 1,West Richland,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986745
Richard Bloom,West Richland City Council Position 4,West Richland,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986768
Braden Sloughter,West Richland City Council Position 4,West Richland,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986768
Mark Anthony Figueroa,Pasco City Council District 1,Pasco,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988088
Leo Perales,Pasco City Council District 3,Pasco,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988093
Bryan Verhei,Pasco City Council District 3,Pasco,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988093
Loren Anderson,Kennewick City Council Ward 2,Kennewick,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70986725
Melissa Blasdel,Pasco City Council District 6,Pasco,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988107
Calixto Hernandez,Pasco City Council District 6,Pasco,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988107
Pete Serrano,Pasco City Council District 4,Pasco,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70988102
Robert Franklin,Kennewick School Board District 1,Kennewick,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24921031
Micah Valentine,Kennewick School Board District 1,Kennewick,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24921031
Gabe Galbraith,Kennewick School Board District 2,Kennewick,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24921032
Nic Uhnak,Kennewick School Board District 2,Kennewick,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24921032
Jacques Bakhazi,Richland School Board Position 1,Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24921993
Bonnie Mitchell,Richland School Board Position 1,Richland,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=24921993
Rick Jansons,Richland School Board Position 2,Richland,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=25125457
Scott Lehrman,Pasco School Board At-Large Position 5,Pasco,FALSE,No Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70970576
Valerie Torres,Pasco School Board At-Large Position 5,Pasco,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70970576
Heather Kubalek,Pasco School Board District 4,Pasco,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70970571
Amanda Brown,Pasco School Board District 3,Pasco,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70970562
Steve Christensen,Pasco School Board District 3,Pasco,TRUE,Provided Vote411 responses,https://www.vote411.org/ballot?lwv-ballot-widget-raceid=70970562
