Video ID,Title,Office,Candidate,Participated
anon_1184948efae7e2b97e18eae38f6f5df9_jFmJ5wsV7AM,Richland City Council Position 6 Candidate Forum,Richland City Council Position 6,Kurt H. Maier,TRUE
anon_1184948efae7e2b97e18eae38f6f5df9_jFmJ5wsV7AM,Richland City Council Position 6 Candidate Forum,Richland City Council Position 6,Kyle Saltz,TRUE
1JyT71KVybg,Port of Kennewick Commissioner District 2 Candidate Forum,Port of Kennewick Commissioner District 2,Raul Contreras Gonzalez,TRUE
1JyT71KVybg,Port of Kennewick Commissioner District 2 Candidate Forum,Port of Kennewick Commissioner District 2,Tammy Kenfield,TRUE
BHM0mCVeFYk,Pasco City Council District 3 Candidate Forum,Pasco City Council District 3,Bryan Verhei,TRUE
BHM0mCVeFYk,Pasco City Council District 3 Candidate Forum,Pasco City Council District 3,Leo A. Perales,TRUE
G0Nr11PMD5c,Port of Benton Commissioner District 1 Candidate Forum,Port of Benton Commissioner District 1,Bill O'Neil,FALSE
G0Nr11PMD5c,Port of Benton Commissioner District 1 Candidate Forum,Port of Benton Commissioner District 1,Roy Keck,TRUE
G0Nr11PMD5c,Port of Benton Commissioner District 1 Candidate Forum,Port of Benton Commissioner District 1,Roy Keck,TRUE
WWeWAlQXQQ4,West Richland City Council Position 3 Candidate Forum,West Richland City Council Position 3,David Cole,TRUE
WWeWAlQXQQ4,West Richland City Council Position 3 Candidate Forum,West Richland City Council Position 3,Pat Holten,FALSE
WWeWAlQXQQ4,West Richland City Council Position 3 Candidate Forum,West Richland City Council Position 3,Robert Harvey Perkes,TRUE
WWeWAlQXQQ4,West Richland City Council Position 3 Candidate Forum,West Richland City Council Position 3,Robert Walko,FALSE
dlFcXnrRNh8,Pasco City Council District 6 Candidate Forum,Pasco City Council District 6,Calixto Hernandez,TRUE
dlFcXnrRNh8,Pasco City Council District 6 Candidate Forum,Pasco City Council District 6,Melissa Blasdel,TRUE
jsMlVFnnkhA,West Richland City Council Position 1 Candidate Forum,West Richland City Council Position 1,John Smart,TRUE
jsMlVFnnkhA,West Richland City Council Position 1 Candidate Forum,West Richland City Council Position 1,Nancy Aldrich,TRUE
sHuKyu6fODo,Kennewick City Council Ward 3 Candidate Forum,Kennewick City Council Ward 3,John Trumbo,TRUE
sHuKyu6fODo,Kennewick City Council Ward 3 Candidate Forum,Kennewick City Council Ward 3,John Trumbo,TRUE
sHuKyu6fODo,Kennewick City Council Ward 3 Candidate Forum,Kennewick City Council Ward 3,Warren Hughs,TRUE
