name,votesmartId,url,confidence,note
Amanda McKinney,200741,https://justfacts.votesmart.org/candidate/200741/amanda-mckinney,high,Search results confirm WA-4 Republican US House candidate
John Duresky,,,none,No VoteSmart profile found for this name in Washington despite multiple searches
Michael Baumgartner,126301,https://justfacts.votesmart.org/candidate/126301/michael-baumgartner,high,Confirmed sitting WA-5 US Representative and former WA state senator
Carmela Conroy,,,none,Only appears on an NEA interest-group endorsement listing page; no distinct candidate profile URL/ID surfaced
Nikki Torres,207362,https://justfacts.votesmart.org/candidate/207362/nikki-torres,high,"VoteSmart snippet labels her WA District 15 senator, while our guide lists her as LD8; same well-known real person, treated as a data-source labeling difference rather than a wrong-person concern"
Gabe Galbraith,,,none,No match; results only surfaced Allison Galbraith and J. Galbraith
Stephanie Barnard,207350,https://justfacts.votesmart.org/candidate/207350/stephanie-barnard,high,Confirmed Republican candidate for WA State House District 8 Position 1 with Pasco WA address
April Connors,207354,https://justfacts.votesmart.org/candidate/207354/april-connors,high,Confirmed WA State House District 8 Position 2 representative from Kennewick WA
Gloria Mendoza,,,none,"No match; only ""MV Mendoza"" surfaced"
Chelsea Dimas,,,none,No VoteSmart profile found
Deb Manjarrez,217579,https://justfacts.votesmart.org/candidate/217579/deb-manjarrez,high,Confirmed WA State House District 14 Position 2 representative
Ezequiel Morfin,,,none,No VoteSmart profile found
Jeremie Dufault,183004,https://justfacts.votesmart.org/candidate/183004/jeremie-dufault,high,"Confirmed WA legislator from Selah, currently listed as House District 15 Position 2; our guide has him running for LD15 Senate in 2026, likely a race VoteSmart's bio text has not caught up with, but same person"
Chris Corry,182997,https://justfacts.votesmart.org/candidate/182997/chris-corry,high,Confirmed WA State House District 15 Position 1
Jack McEntire,,,none,No match; only Jim McEntire and Joel McEntire surfaced
Reedy Berg,,,none,No VoteSmart profile found
Liz Hallock,183000,https://justfacts.votesmart.org/candidate/183000/liz-hallock,high,Vote Smart profile places her in Yakima WA with a 2018 WA House District 14 run — the same person
Mark Klicker,192874,https://justfacts.votesmart.org/candidate/192874/mark-klicker,high,Confirmed WA State House District 16 Position 1 representative from Walla Walla WA
Kyle Palmer,,,none,No VoteSmart profile found
Skyler Rude,170980,https://justfacts.votesmart.org/candidate/170980/skyler-rude,high,Confirmed WA State House District 16 Position 2 representative from Walla Walla WA
Derek Sarley,,,none,No VoteSmart profile found
Colleen Melody,,,none,No VoteSmart profile found
Scott Edwards,,,none,No match; only unrelated Edwards candidates (Chet Edwards
David Stevens,,,none,"Two distinct candidate IDs (28200 and 116258) surfaced for a ""David Stevens"" on VoteSmart, but neither search snippet confirmed a Washington/Supreme Court connection, so this could not be verified as a safe match"
Jaime Michelle Hawk,,,none,No VoteSmart profile found
Ian Birk,,,none,VoteSmart has an article confirming Governor Inslee appointed Ian Birk to the WA Court of Appeals Division One
Sean O'Donnell,,,none,"No match; only unrelated O'Donnells (John, Steven/Steve Layne in Arkansas, Michael, Jason, Patrick, Sherry, Edward) surfaced"
Theo Angelis,,,none,No VoteSmart profile found
Dave Larson,175627,https://justfacts.votesmart.org/candidate/175627/dave-larson,high,Explicitly listed as a candidate for Washington State Supreme Court Justice in 2026
Debra L. Stephens,102419,https://justfacts.votesmart.org/candidate/102419/debra-stephens,high,Confirmed nonpartisan Justice of the Washington Supreme Court Position 7
Todd A. Bloom,171022,https://justfacts.votesmart.org/candidate/171022/todd-bloom,high,Explicitly listed as a candidate for Washington State Supreme Court Justice in 2026 from Tacoma WA
Tyson R. Hill,,,none,No VoteSmart profile found
Bill Spencer,,,none,No VoteSmart profile found for Benton County WA assessor candidate
Brenda Chilton,,,none,No VoteSmart profile found
Josie Delvin,,,none,Only Jerome Delvin (apparently her husband
Michael Alvarez,,,none,No WA match; only Micaela Alvarez and Jose Alvarez (different people/states) surfaced
"William ""Bill"" Leach",,,none,No match; only unrelated Leaches (Jeff Leach
Eric Eisinger,,,none,No VoteSmart profile found
Julie Long,,,none,No VoteSmart profile found
"Michael ""Mike"" Clark",,,none,Only a Mike Clark from Texas (US House candidate) surfaced
Brad Klippert,51502,https://justfacts.votesmart.org/candidate/51502/brad-klippert,high,Confirmed former WA State House District 8 Position 1 Republican representative
Kenneth Spencer Jr,,,none,No VoteSmart profile found
Talesha Sams,,,none,No VoteSmart profile found
"Michael ""Mike"" Rio",,,none,No VoteSmart profile found
"James ""Jim"" Bell",,,none,No match; only unrelated Mike Bell and Jim Justice Jr. surfaced
Dan Kathren,,,none,No VoteSmart profile found
Jennifer Johnson,,,none,"No WA match; only unrelated Johnsons (Charles, Julie, Kristi Haskins) surfaced"
Jennifer M. (Lampson) Azure,,,none,No VoteSmart profile found
"Roy C. ""Dewey"" Holliday",,,none,No VoteSmart profile found
Micah Valentine,,,none,No VoteSmart profile found
Kyle Saltz,,,none,No match; only an unrelated Kyle Schultz surfaced
Mary S. Lipton,,,none,No match; only an unrelated Mary Washington (Maryland) surfaced
Chris Hollingsworth,,,none,No VoteSmart profile found
John A Rosenau,,,none,No VoteSmart profile found
Matt Beaton,,,none,Only a different Matt Beaton
Ruby Ochoa,,,none,No VoteSmart profile found
Clint Didier,126032,https://justfacts.votesmart.org/candidate/126032/clint-didier,high,Vote Smart profile names him Franklin County WA Commissioner District 3 — same office he is running for
Joel Prantle,,,none,No VoteSmart profile found
Curtis McGary,,,none,No VoteSmart profile found
Shawn P. Sant,,,none,No VoteSmart profile found
Monty Huber,,,none,No VoteSmart profile found
Christopher (Chris) Lee,,,none,No VoteSmart profile found; name too common to isolate a WA match
Josie Koelzer,,,none,No VoteSmart profile found
Michael Nguyen,,,none,No WA match; only unrelated Jacqueline Nguyen (CA federal judge) surfaced
Trinity Orosco,,,none,No VoteSmart profile found
Hans-Joachim Engelke,,,none,No VoteSmart profile found despite distinctive name
Tim Nies,,,none,No VoteSmart profile found
