Candidate Name,Question Order,Question,Answer,URL
Braden Sloughter,1,"Should West Richland adopt a “City Manager” form of government, or retain the “Strong Mayor” form of government that we currently have? Please explain your rationale.","​

I support moving toward a City Manager form of government, but we need to be smart about it. This is a major change that should be implemented thoughtfully, with community input, a clear plan, and a focus on improving efficiency, accountability, and transparency without creating unnecessary costs or bureaucracy.

​",https://www.wrcg.org/bradensloughter
Braden Sloughter,2,The West Richland Mayor currently has sole discretion over hiring and salary decisions for City Staff. Should that continue or should hiring and salary decisions require concurrence with the City Council?,"I believe in checks and balances. The Mayor should have flexibility for day-to-day staffing, but major hires and significant salary changes should involve Council oversight. That balance keeps decision-making efficient while ensuring accountability.

​​",https://www.wrcg.org/bradensloughter
Braden Sloughter,3,Should there be a succession plan for key city staff positions?,"Absolutely. Succession planning ensures continuity, stability, and preparedness when key positions become vacant. It’s about avoiding disruption and making sure the city runs smoothly, no matter what.

​​",https://www.wrcg.org/bradensloughter
Braden Sloughter,4,"What are your favorite aspects of West Richland and what do you think draws people to our City? Alternatively, what are your leading concerns?","I love West Richland’s small-town character, safety, parks, and the way neighbors know each other. People come here for space, community, and quality of life. My biggest concern is unmanaged growth. If we don’t plan for it properly, we risk losing the very things that make West Richland special.

​​",https://www.wrcg.org/bradensloughter
Braden Sloughter,5,How should current and future City Park development and maintenance be funded? Should the City establish a Parks & Recreation department or contract for private companies to provide those services? Should future neighborhood parks be maintained through HOA funding?,"I’m open to creating a Parks & Recreation department if it makes sense financially and operationally for West Richland. If an HOA wants to go above and beyond the required parks, I think it’s a great asset for their neighborhood to add additional park and open space that they maintain. The big concern for me is making sure we have enough city-owned public parks that are accessible to everyone, along with the resources and staffing to properly maintain and manage them. Public-private partnerships can also play a role in keeping costs down while maintaining quality.

​​",https://www.wrcg.org/bradensloughter
Braden Sloughter,6,How would you improve communication between the City Council and citizens? Should more time be given for people to speak at City Council meetings? Should there be more open workshops for citizens to attend? Other suggestions?,"​

Yes to all of it. I’d like to see more open workshops, town halls, and online Q&As, plus extended public comment time when needed. We also need plain language updates online and on social media so residents can easily understand the issues and how to get involved. A more accessible, easier-to-navigate city website with important information clearly posted and easy to find would make a big difference in keeping residents informed. I’d also like to see easy to understand explanations of city processes, zoning rules, timelines, and other procedures posted so citizens who want to be involved know how and when to participate.

​​",https://www.wrcg.org/bradensloughter
Braden Sloughter,7,"What is your position on allowing adult-only businesses such as adult entertainment, casinos, etc. within City limits?","Let’s address the elephant in the room, we all know cannabis stores are the hot topic in this conversation. Right now, there’s a cannabis store surrounded by city limits that we don’t collect a dime of tax revenue from. Looking at recent state data, cannabis sales are actually falling statewide, back to pre-pandemic levels, so this is starting to feel like an issue with more hype than an actual wave of new stores we need to worry about.

​

When it comes to other “adult-only” businesses, the label covers a wide range, from winery tasting rooms to pubs to strip clubs. Those are very different things. Casinos and strip clubs don’t fit West Richland’s family-focused community values. But a winery tasting room? That aligns with our local wine industry and tourism economy. Any decision should be based on the type of business, whether it fits our community character, and what it contributes to West Richland.

​​​",https://www.wrcg.org/bradensloughter
Braden Sloughter,8,What is your position on permitting firework sales and use within West Richland city limits? Should Municipal Code Section 8.22; “Fireworks” and Section 9.38; “Noise Regulation” be amended to be consistent?,"​

I love the 4th of July, but I also recognize the real fire danger in our dry, windy summers, and we all saw what happened this year. A total ban isn’t realistic without strong enforcement, but we can make fireworks safer by limiting the days and hours they’re allowed, enforcing penalties for reckless use, and aligning the fireworks and noise codes so they’re consistent and enforceable.

​​",https://www.wrcg.org/bradensloughter
Braden Sloughter,9,What can City government do to improve transparency with the public when it comes to spending and other critical City decisions?,"Be proactive and clear. Share important information before votes happen, not after. Provide easy to read summaries of budgets, projects, and decisions without all the government jargon. Livestream and archive meetings so anyone can watch anytime. The City’s website should be more accessible and easier to navigate, with straightforward explanations of processes, zoning rules, timelines, and decision points so residents know how and when to get involved.

​​​",https://www.wrcg.org/bradensloughter
Braden Sloughter,10,"What can be done to eliminate waste, fraud, and abuse of our City tax dollars?","​

Regular independent audits, competitive bidding for contracts, strong internal controls, and whistleblower protections are key. And we should always treat the city’s budget like it’s our own household budget making sure every dollar is used responsibly. If people believe there’s a lot of waste, fraud, and abuse happening, maybe it’s time to elect someone new to council. 😉

CANDIDATE RESUME",https://www.wrcg.org/bradensloughter
David Cole,1,"Should West Richland adopt a “City Manager” form of government, or retain the “Strong Mayor” form of government that we currently have? Please explain your rationale.","​

I support moving to a Council-Manager form of city government. The current strong mayor model is no longer sustainable. It relies on a mayor without the skills needed to run the city. I do not support a hybrid City Administrator system. It failed when tried before. West Richland is poised for substantial growth, potentially increasing by 8-10,000 in population over the next 10 years. We need a professional city manager who has the education, training, knowledge, skills and experience for the job – one who will collaborate with council, empower city staff, and hold him/herself accountable to citizens and council. I believe the cost of a competent city manager salary will easily offset the costs associated with serious past mistakes, pending lawsuits, etc.

​",https://www.wrcg.org/davidcole
David Cole,2,The West Richland Mayor currently has sole discretion over hiring and salary decisions for City Staff. Should that continue or should hiring and salary decisions require concurrence with the City Council?,"The mayor should rely on the “advice & consent” function of Council, especially in hiring department heads and/or confirming appointments, budget development, and salary determination. As the chief executive of the city in our current system, the mayor has authority for hiring/firing and salary determinations.

​​",https://www.wrcg.org/davidcole
David Cole,3,Should there be a succession plan for key city staff positions?,"​​

Yes. Every successful organization has a succession plan for replacing talent to ensure continuity of operations and reliability of leadership. Succession planning is a requirement in many cities and in most major businesses.

​

​​4) What are your favorite aspects of West Richland and what do you think draws people to our City? Alternatively, what are your leading concerns?

My favorite aspect of West Richland is definitely the people.I chose to live here 20 years ago and have never regretted it.We appreciate our small-town vibe and family-friendly neighborhoods, yet we recognize the need to accommodate growth.My leading concerns are a lack of transparency in city government, the need for a healthy business climate and lack of citizen involvement. My priorities are:

Increased transparency in city government

Greater citizen involvement in policy, planning and budget decisions

Strengthen family-friendly neighborhoods

Minimize tax increases

Promote a healthy and profitable environment for businesses

Support continued growth and provide essential city services

Encourage continued development of middle housing

Support our police officers and first responders

Promote a drug-free community and focus on crime prevention

Enhance senior citizen and veteran support efforts

​​",https://www.wrcg.org/davidcole
